query_id,query,reference_doc_ids
C2Q001," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",D89774|D70989
C2Q002, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,D28722|D89021
C2Q003,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",D33926|D00158
C2Q004,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",D66110|D82629
C2Q005,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",D24488|D11980
C2Q006,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,D69205|D64040
C2Q007,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,D12771|D07914
C2Q008,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,D23639|D76224
C2Q009,George Gershwin is an American Composer and Judith Weir is a composer from which country?,D52294|D96336
C2Q010,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,D65653|D18320
C2Q011,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,D28960|D67530
C2Q012,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,D69199|D93910
C2Q013,The creator of the Lisa Simpson character was born in what year?,D85044|D86362
C2Q014,Where is the international airport which Eagle Aviation wet lease operations were based in located ,D51112|D34144
C2Q015,What occupation was shared by David Yates and Pietro Germi?,D51451|D18578
