query_id,case_label,config_id,retrieval_score,retrieval_status,generation_score,aux_score,error_type,diagnostic_note,retrieved_doc_ids,effective_query,generated_answer
C2Q009,case2,trial_1,1.0,SUCCESS,1.0,0.9,CITATION_ERROR,"coverage=1.00, groundedness=1.00, citation_quality=0.90",D52294|D96336|D71080|D03447|D38053,George Gershwin is an American Composer and Judith Weir is a composer from which country?,Judith Weir is a composer from the United Kingdom.
C2Q014,case2,trial_1,0.5,PARTIAL,1.0,1.0,NONE,"coverage=0.50, groundedness=1.00, citation_quality=1.00",D34144|D64239|D35053|D85428|D01067,Where is the international airport which Eagle Aviation wet lease operations were based in located,Paris Charles de Gaulle Airport
C2Q008,case2,trial_1,1.0,SUCCESS,1.0,1.0,NONE,"coverage=1.00, groundedness=1.00, citation_quality=1.00",D76224|D23639|D25553|D05953|D54091,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,"Oliver Parker directed the second film in the ""Johnny English"" series."
C2Q007,case2,trial_1,0.5,PARTIAL,0.0,0.0,GROUNDING_FAILURE,"coverage=0.50, groundedness=0.00, citation_quality=0.00",D12771|D49605|D01095|D54302|D49972,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2000
C2Q015,case2,trial_1,1.0,SUCCESS,0.0,0.0,GROUNDING_FAILURE,"coverage=1.00, groundedness=0.00, citation_quality=0.00",D18578|D51451|D99113|D97740|D96151,What occupation was shared by David Yates and Pietro Germi?,David Yates and Pietro Germi shared the occupation of acting.
C2Q013,case2,trial_1,1.0,SUCCESS,1.0,1.0,NONE,"coverage=1.00, groundedness=1.00, citation_quality=1.00",D86362|D85044|D42162|D35916|D75371,The creator of the Lisa Simpson character was born in what year?,"The creator of Lisa Simpson, Matt Groening, was born in 1954."
C2Q006,case2,trial_1,1.0,SUCCESS,0.5,0.7,CITATION_ERROR,"coverage=1.00, groundedness=0.50, citation_quality=0.70",D69205|D64040|D76796|D55586|D35240,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,"Charles Fraser-Smith, a one-time missionary inspired for James Bond's Quartermaster Q."
C2Q003,case2,trial_1,0.5,PARTIAL,0.5,0.5,CITATION_ERROR,"coverage=0.50, groundedness=0.50, citation_quality=0.50",D33926|D13593|D88923|D39524|D56666,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort
C2Q010,case2,trial_1,1.0,SUCCESS,0.5,0.8,CITATION_ERROR,"coverage=1.00, groundedness=0.50, citation_quality=0.80",D18320|D65653|D73458|D31415|D10298,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,The name of Juan Manuel Márquez's WBO champion holding younger brother was Rafael Márquez.
C2Q004,case2,best_holdout,1.0,SUCCESS,1.0,1.0,NONE,"[holdout] coverage=1.00, groundedness=1.00, citation_quality=1.00",D82629|D16978|D66110|D57555|D30206,"Were was the Mexican state after which there is Villa Unión, Sinaloa located?","Villa Unión, Sinaloa is located in the Mexican state of Sinaloa."
C2Q005,case2,best_holdout,1.0,SUCCESS,0.5,0.3,CITATION_ERROR,"[holdout] coverage=1.00, groundedness=0.50, citation_quality=0.30",D24488|D11980|D67336|D88857|D49786,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The language traditionally written with the ancient Libyco-Berber script and closely related to the Tumzabt (Mozabite) and Teggargrent (Ouargli) languages is Berber. [D67336]
C2Q012,case2,best_holdout,1.0,SUCCESS,1.0,1.0,NONE,"[holdout] coverage=1.00, groundedness=1.00, citation_quality=1.00",D69199|D93910|D10904|D93379|D62659,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,"Bury St Edmunds, Suffolk, England."
C2Q001,case2,best_holdout,0.5,PARTIAL,0.2,0.1,GROUNDING_FAILURE,"[holdout] coverage=0.50, groundedness=0.20, citation_quality=0.10",D89774|D18981|D15160,"Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?","Jason Regler had the idea for the flashing wristbands during a Coldplay concert while listening to ""Fix You"" on the radio."
C2Q002,case2,best_holdout,1.0,SUCCESS,1.0,1.0,NONE,"[holdout] coverage=1.00, groundedness=1.00, citation_quality=1.00",D28722|D89021|D03395|D47759|D47360,The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,"The borough where ""The Soul of Buddha"" was shot is Fort Lee, New Jersey. It is the western terminus of the George Washington Bridge and is located across the Hudson River from Manhattan in New York City."
C2Q011,case2,best_holdout,1.0,SUCCESS,1.0,1.0,NONE,"[holdout] coverage=1.00, groundedness=1.00, citation_quality=1.00",D67530|D28960|D81824|D33020|D57543,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,Kim Jong-kook is from South Korea.
