query_id,case_label,config_id,retrieval_score,retrieval_status,generation_score,aux_score,error_type,diagnostic_note,retrieved_doc_ids,effective_query,generated_answer
C1Q009,case1,trial_4,1.0,SUCCESS,0.6864599084854126,0.875,NONE,"context_recall=1.00, similarity=0.69, faithfulness=0.88",D61406|D09739|D43534|D41735|D20639,Switchfoot Midnight Oil band name origin hat,Midnight Oil chose its name by drawing it out of a hat.
C1Q014,case1,trial_4,1.0,SUCCESS,1.0000000715255737,1.0,NONE,"context_recall=1.00, similarity=1.00, faithfulness=1.00",D33534|D75330|D08523|D82629|D54414,Lingnan Fine Arts Museum 25 km north port city,Keelung
C1Q008,case1,trial_4,1.0,SUCCESS,0.43622628450393675,1.0,NONE,"context_recall=1.00, similarity=0.44, faithfulness=1.00",D37343|D32213|D94020|D63257|D63604,Tommy's Honour cast 2016 BBC miniseries,Anita Ekberg
C1Q007,case1,trial_4,1.0,SUCCESS,0.9020359230041505,1.0,NONE,"context_recall=1.00, similarity=0.90, faithfulness=1.00",D56681|D02477|D99918|D26929|D45225,actor played Luc Deveraux Universal Soldier Holby City Doctor Strange Bourne Ultimatum Zero Dark Thirty,Scott Edward Adkins
C1Q015,case1,trial_4,1.0,SUCCESS,0.40803916454315187,0.52,NONE,"context_recall=1.00, similarity=0.41, faithfulness=0.52",D84025|D72290|D48781|D98699|D10286,Stefan Edberg vs Edouard Roger-Vasselin career titles comparison,"Édouard Roger-Vasselin has not won any Grand Slam singles titles, so he has fewer events (in this case, 0) compared to Stefan Edberg's 6 Grand Slam singles titles. Therefore, Stefan Edberg has won more events than Édouard Roger-Vasselin."
C1Q013,case1,trial_4,0.7317073170731707,PARTIAL,0.43541228771209717,0.8076923076923077,NONE,"context_recall=0.73, similarity=0.44, faithfulness=0.81",D29938|D23984|D77255|D66057|D25010,Eric S. Pistorius attorney career next business company type,"Eric S. Pistorius worked for the concept of ""legal practice"" or ""law firm,"" focusing on areas such as personal injury, litigation, criminal defense, and collections after transitioning from being an attorney at law to a Circuit court Judge in Illinois."
C1Q006,case1,trial_4,1.0,SUCCESS,0.514981344166924,0.875,NONE,"context_recall=1.00, similarity=0.51, faithfulness=0.88",D27907|D72720|D82033|D64503|D85044,Danny DeVito animated movie Kool Kojak music producer,"The animated movie starring Danny Devito that featured music written and produced by Kool Kojak was ""Dr. Seuss' The Lorax"" (2012)."
C1Q003,case1,trial_4,1.0,SUCCESS,0.4895656585693359,0.6666666666666666,NONE,"context_recall=1.00, similarity=0.49, faithfulness=0.67",D55451|D88034|D70690|D37464|D34760,Art Laboe Scout Tufankjian shared ancestry country,The shared country of ancestry between Art Laboe and Scout Tufankjian is Armenia.
C1Q010,case1,trial_4,1.0,SUCCESS,0.5694882869720459,1.0,NONE,"context_recall=1.00, similarity=0.57, faithfulness=1.00",D64210|D76705|D28960|D76113|D27907,Tunak Tunak Tun artist birth year,"Daler Mehndi was born on August 18, 1967."
C1Q004,case1,best_holdout,1.0,SUCCESS,0.6770381914244759,1.0,NONE,"[holdout] context_recall=1.00, similarity=0.68, faithfulness=1.00",D77512|D52542|D64850|D47394|D56782,Which school hosts the Wilmslow Show,"Wilmslow High School is designated as a ""Centre of Excellence"" by Ofsted."
C1Q005,case1,best_holdout,1.0,SUCCESS,1.0000000715255737,1.0,NONE,"[holdout] context_recall=1.00, similarity=1.00, faithfulness=1.00",D05921|D19420|D12040|D32674|D60636,Billy Howle Dominic Cooke British drama film cast,Saoirse Ronan
C1Q012,case1,best_holdout,1.0,SUCCESS,0.44204810857772825,0.625,NONE,"[holdout] context_recall=1.00, similarity=0.44, faithfulness=0.62",D12580|D64219|D82747|D30276|D55668,Emilio Estevez film released same year as Nightmares movie,"Emilio Estevez starred in ""The Way"" in 1986, the same year as ""Nightmares""."
C1Q001,case1,best_holdout,0.75,PARTIAL,0.44255547523498534,0.6521739130434783,NONE,"[holdout] context_recall=0.75, similarity=0.44, faithfulness=0.65",D99392|D62289|D83976|D25423|D77673,Iqbal F. Qadir Okha radar station attack ship vessel,"Iqbal Fazl Quadir was participating in an attack on a radar station located on the western shore of the Okhamandal Peninsula when he participated in the second war with India. The radar station in question is situated near Dwarka, India."
C1Q002,case1,best_holdout,1.0,SUCCESS,0.6894998183617225,0.9,NONE,"[holdout] context_recall=1.00, similarity=0.69, faithfulness=0.90",D37411|D42307|D19433|D12574|D56843,Tivoli Gardens opening date,"Tivoli Gardens, where Tivolis Koncertsal is located, opened on August 15, 1843."
C1Q011,case1,best_holdout,1.0,SUCCESS,1.0,1.0,NONE,"[holdout] context_recall=1.00, similarity=1.00, faithfulness=1.00",D41301|D55060|D97708|D56139|D33418,New Netherland Lenape war captain deadliest attack casualties,Captain John Underhill
